AssetType,Year,Growth
APSP Crude Index,2002,2.60%
APSP Crude Index,2003,15.70%
APSP Crude Index,2004,30.40%
APSP Crude Index,2005,41.70%
APSP Crude Index,2006,20.70%
APSP Crude Index,2007,10.70%
APSP Crude Index,2008,36.40%
APSP Crude Index,2009,-36.20%
APSP Crude Index,2010,27.90%
APSP Crude Index,2011,31.90%
APSP Crude Index,2012,1.00%
APSP Crude Index,2013,-1.00%
APSP Crude Index,2014,-7.60%
APSP Crude Index,2015,-47.20%
APSP Crude Index,2016,-15.80%
Lamb ,1980,0.00%
Lamb ,1981,-4.70%
Lamb ,1982,-13.10%
Lamb ,1983,-19.10%
Lamb ,1984,-0.20%
Lamb ,1985,-4.70%
Lamb ,1986,10.80%
Lamb ,1987,6.30%
Lamb ,1988,11.20%
Lamb ,1989,-3.80%
Lamb ,1990,15.00%
Lamb ,1991,-13.40%
Lamb ,1992,10.10%
Lamb ,1993,7.50%
Lamb ,1994,1.20%
Lamb ,1995,-9.90%
Lamb ,1996,28.50%
Lamb ,1997,3.30%
Lamb ,1998,-22.80%
Lamb ,1999,-0.20%
Lamb ,2000,-2.60%
Lamb ,2001,15.40%
Lamb ,2002,12.10%
Lamb ,2003,9.40%
Lamb ,2004,3.70%
Lamb ,2005,-2.90%
Lamb ,2006,-4.50%
Lamb ,2007,5.30%
Lamb ,2008,5.60%
Lamb ,2009,-13.90%
Lamb ,2010,-0.90%
Lamb ,2011,2.40%
Lamb ,2012,-32.30%
Lamb ,2013,5.70%
Lamb ,2014,22.50%
Lamb ,2015,-17.40%
Lamb ,2016,-0.90%
Poultry ,1980,0.00%
Poultry ,1981,2.20%
Poultry ,1982,-1.80%
Poultry ,1983,1.60%
Poultry ,1984,13.20%
Poultry ,1985,-4.10%
Poultry ,1986,10.40%
Poultry ,1987,-1.90%
Poultry ,1988,10.40%
Poultry ,1989,9.60%
Poultry ,1990,-1.60%
Poultry ,1991,-2.40%
Poultry ,1992,0.10%
Poultry ,1993,14.00%
Poultry ,1994,1.10%
Poultry ,1995,0.40%
Poultry ,1996,12.30%
Poultry ,1997,-2.10%
Poultry ,1998,3.60%
Poultry ,1999,-5.00%
Poultry ,2000,-0.90%
Poultry ,2001,7.00%
Poultry ,2002,-0.90%
Poultry ,2003,5.00%
Poultry ,2004,14.40%
Poultry ,2005,-2.40%
Poultry ,2006,-6.30%
Poultry ,2007,12.90%
Poultry ,2008,8.20%
Poultry ,2009,1.20%
Poultry ,2010,0.30%
Poultry ,2011,1.80%
Poultry ,2012,7.90%
Poultry ,2013,10.10%
Poultry ,2014,6.10%
Poultry ,2015,4.10%
Poultry ,2016,-2.80%
Agr. Raw Mtl,1980,0.00%
Agr. Raw Mtl,1981,-11.20%
Agr. Raw Mtl,1982,-4.90%
Agr. Raw Mtl,1983,7.00%
Agr. Raw Mtl,1984,10.90%
Agr. Raw Mtl,1985,-14.90%
Agr. Raw Mtl,1986,11.30%
Agr. Raw Mtl,1987,30.30%
Agr. Raw Mtl,1988,7.40%
Agr. Raw Mtl,1989,4.00%
Agr. Raw Mtl,1990,3.10%
Agr. Raw Mtl,1991,-8.20%
Agr. Raw Mtl,1992,-1.30%
Agr. Raw Mtl,1993,14.00%
Agr. Raw Mtl,1994,10.10%
Agr. Raw Mtl,1995,3.30%
Agr. Raw Mtl,1996,-3.60%
Agr. Raw Mtl,1997,-3.70%
Agr. Raw Mtl,1998,-15.70%
Agr. Raw Mtl,1999,-0.80%
Agr. Raw Mtl,2000,5.50%
Agr. Raw Mtl,2001,-3.40%
Agr. Raw Mtl,2002,-0.20%
Agr. Raw Mtl,2003,0.60%
Agr. Raw Mtl,2004,4.10%
Agr. Raw Mtl,2005,0.70%
Agr. Raw Mtl,2006,8.70%
Agr. Raw Mtl,2007,5.00%
Agr. Raw Mtl,2008,-0.70%
Agr. Raw Mtl,2009,-17.10%
Agr. Raw Mtl,2010,33.20%
Agr. Raw Mtl,2011,22.70%
Agr. Raw Mtl,2012,-12.70%
Agr. Raw Mtl,2013,1.60%
Agr. Raw Mtl,2014,2.00%
Agr. Raw Mtl,2015,-13.50%
Agr. Raw Mtl,2016,-5.70%
Ind Materials,1980,0.00%
Ind Materials,1981,-16.80%
Ind Materials,1982,-10.60%
Ind Materials,1983,12.90%
Ind Materials,1984,-0.90%
Ind Materials,1985,-12.10%
Ind Materials,1986,5.70%
Ind Materials,1987,27.80%
Ind Materials,1988,30.00%
Ind Materials,1989,-3.20%
Ind Materials,1990,-5.20%
Ind Materials,1991,-11.80%
Ind Materials,1992,-2.00%
Ind Materials,1993,0.90%
Ind Materials,1994,13.60%
Ind Materials,1995,11.00%
Ind Materials,1996,-7.80%
Ind Materials,1997,-1.00%
Ind Materials,1998,-16.80%
Ind Materials,1999,-0.60%
Ind Materials,2000,9.00%
Ind Materials,2001,-6.60%
Ind Materials,2002,-1.70%
Ind Materials,2003,5.50%
Ind Materials,2004,18.40%
Ind Materials,2005,12.30%
Ind Materials,2006,36.30%
Ind Materials,2007,13.20%
Ind Materials,2008,-5.60%
Ind Materials,2009,-18.50%
Ind Materials,2010,43.20%
Ind Materials,2011,16.40%
Ind Materials,2012,-15.50%
Ind Materials,2013,-2.30%
Ind Materials,2014,-5.90%
Ind Materials,2015,-19.40%
Ind Materials,2016,-5.50%
Barley,1980,0.00%
Barley,1981,1.90%
Barley,1982,-20.10%
Barley,1983,11.30%
Barley,1984,11.00%
Barley,1985,-25.30%
Barley,1986,-19.10%
Barley,1987,15.60%
Barley,1988,27.90%
Barley,1989,6.80%
Barley,1990,6.40%
Barley,1991,-2.10%
Barley,1992,0.50%
Barley,1993,-9.30%
Barley,1994,1.80%
Barley,1995,43.20%
Barley,1996,15.00%
Barley,1997,-18.70%
Barley,1998,-12.50%
Barley,1999,-10.70%
Barley,2000,1.70%
Barley,2001,21.60%
Barley,2002,16.00%
Barley,2003,-3.90%
Barley,2004,-5.50%
Barley,2005,-4.00%
Barley,2006,22.70%
Barley,2007,47.80%
Barley,2008,16.30%
Barley,2009,-36.00%
Barley,2010,23.40%
Barley,2011,30.80%
Barley,2012,15.00%
Barley,2013,-13.40%
Barley,2014,-29.20%
Barley,2015,-12.50%
Barley,2016,1.20%
Coffee,1980,0.00%
Coffee,1981,-16.90%
Coffee,1982,9.10%
Coffee,1983,-5.70%
Coffee,1984,9.50%
Coffee,1985,1.00%
Coffee,1986,32.40%
Coffee,1987,-41.70%
Coffee,1988,20.30%
Coffee,1989,-20.80%
Coffee,1990,-16.70%
Coffee,1991,-4.60%
Coffee,1992,-25.10%
Coffee,1993,9.90%
Coffee,1994,112.40%
Coffee,1995,0.60%
Coffee,1996,-19.50%
Coffee,1997,53.90%
Coffee,1998,-28.40%
Coffee,1999,-23.20%
Coffee,2000,-16.40%
Coffee,2001,-27.20%
Coffee,2002,-2.50%
Coffee,2003,6.10%
Coffee,2004,25.00%
Coffee,2005,42.80%
Coffee,2006,-0.30%
Coffee,2007,8.10%
Coffee,2008,12.10%
Coffee,2009,2.50%
Coffee,2010,37.30%
Coffee,2011,40.60%
Coffee,2012,-31.30%
Coffee,2013,-24.80%
Coffee,2014,43.80%
Coffee,2015,-20.90%
Coffee,2016,2.50%
Soft Logs ,1980,0.00%
Soft Logs ,1981,-10.00%
Soft Logs ,1982,23.00%
Soft Logs ,1983,-12.50%
Soft Logs ,1984,-6.10%
Soft Logs ,1985,-1.50%
Soft Logs ,1986,4.00%
Soft Logs ,1987,17.80%
Soft Logs ,1988,16.70%
Soft Logs ,1989,2.70%
Soft Logs ,1990,16.30%
Soft Logs ,1991,1.70%
Soft Logs ,1992,21.30%
Soft Logs ,1993,42.90%
Soft Logs ,1994,-7.70%
Soft Logs ,1995,-3.70%
Soft Logs ,1996,5.30%
Soft Logs ,1997,-9.20%
Soft Logs ,1998,-14.10%
Soft Logs ,1999,3.40%
Soft Logs ,2000,9.90%
Soft Logs ,2001,-12.80%
Soft Logs ,2002,-7.50%
Soft Logs ,2003,-0.20%
Soft Logs ,2004,19.30%
Soft Logs ,2005,4.50%
Soft Logs ,2006,3.00%
Soft Logs ,2007,-19.10%
Soft Logs ,2008,-2.60%
Soft Logs ,2009,-7.20%
Soft Logs ,2010,3.50%
Soft Logs ,2011,6.00%
Soft Logs ,2012,-1.30%
Soft Logs ,2013,11.20%
Soft Logs ,2014,5.90%
Soft Logs ,2015,-7.00%
Soft Logs ,2016,-3.20%
Corn ,1980,0.00%
Corn ,1981,3.90%
Corn ,1982,-17.20%
Corn ,1983,25.80%
Corn ,1984,-0.10%
Corn ,1985,-17.30%
Corn ,1986,-21.80%
Corn ,1987,-14.00%
Corn ,1988,41.60%
Corn ,1989,4.10%
Corn ,1990,-1.90%
Corn ,1991,-1.70%
Corn ,1992,-3.00%
Corn ,1993,-2.10%
Corn ,1994,5.60%
Corn ,1995,14.50%
Corn ,1996,33.30%
Corn ,1997,-28.80%
Corn ,1998,-13.30%
Corn ,1999,-11.10%
Corn ,2000,-2.30%
Corn ,2001,1.60%
Corn ,2002,10.90%
Corn ,2003,5.90%
Corn ,2004,6.30%
Corn ,2005,-12.00%
Corn ,2006,23.60%
Corn ,2007,34.30%
Corn ,2008,36.70%
Corn ,2009,-25.80%
Corn ,2010,12.40%
Corn ,2011,56.90%
Corn ,2012,2.30%
Corn ,2013,-13.20%
Corn ,2014,-25.50%
Corn ,2015,-12.00%
Corn ,2016,-6.30%
Beverages index ,1980,0.00%
Beverages index ,1981,-21.20%
Beverages index ,1982,-2.30%
Beverages index ,1983,11.00%
Beverages index ,1984,16.00%
Beverages index ,1985,-11.70%
Beverages index ,1986,11.10%
Beverages index ,1987,-24.10%
Beverages index ,1988,-4.70%
Beverages index ,1989,-17.20%
Beverages index ,1990,-10.90%
Beverages index ,1991,-6.90%
Beverages index ,1992,-10.80%
Beverages index ,1993,5.70%
Beverages index ,1994,64.10%
Beverages index ,1995,1.60%
Beverages index ,1996,-16.10%
Beverages index ,1997,23.00%
Beverages index ,1998,-8.50%
Beverages index ,1999,-22.40%
Beverages index ,2000,-18.40%
Beverages index ,2001,-13.30%
Beverages index ,2002,24.30%
Beverages index ,2003,4.80%
Beverages index ,2004,-0.90%
